Model,ROUGE-1,ROUGE-2,ROUGE-L
Baseline PEGASUS,0.01350828626699706,0.0,0.01284064542118623
Full Fine-Tuned PEGASUS,0.43380027012562045,0.19846649311866843,0.3595495181704338
LoRA PEGASUS,0.16690594119139818,0.0,0.13529638923542625
